EVENT,FIGHTER A VS FIGHTER B,OUTCOME (FIGHTER A/FIGHTER B),WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL,FIGHTER_A,FIGHTER_B,Fighter_a,ELO_Score_a,Average_SoO_Score_a,Ultimate_Score_a,ELO_Score_b,Average_SoO_Score_b,Ultimate_Score_b,Height_A,Weight_A,Reach_A,Height_B,Weight_B,Reach_B,Height_Differential,Reach_Differential,Height_Reach_Ratio_A,Height_Reach_Ratio_B
UFC Fight Night: Yan vs. Figueiredo ,Volkan Oezdemir  vs. Carlos Ulberg ,L/W,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Mark Christie 27 - 30.Vito Paolillo 27 - 30.Evan Field 28 - 29.,http://ufcstats.com/fight-details/02ec66f311dce539,volkan oezdemir,carlos ulberg,volkan oezdemir,-0.139550294,1517.010033,0.071773029,1.329385796,1476.051457,0.74902728,1.04306741,92.99,0.673764606,1.63255022,92.99,1.197821718,-0.785847155,-0.637699474,0.46291315,0.428032111
UFC 309: Jones vs. Miocic ,Jon Jones  vs. Stipe Miocic ,W/L,UFC Heavyweight Title Bout,KO/TKO ,3,4:29,5 Rnd (5-5-5-5-5),Herb Dean,Spinning Back Kick Body ,http://ufcstats.com/fight-details/b35e47f2f58ef026,jon jones,stipe miocic,jon jones,4.02159007,1546.040102,3.52098009,1.960698103,1543.954699,1.949026554,1.608166495,112.49,2.77623601,1.63255022,108.86,1.91207433,-0.012552206,1.194065243,-2.721891831,-1.013741773
UFC 309: Jones vs. Miocic ,Charles Oliveira  vs. Michael Chandler ,W/L,Lightweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Keith Peterson,Eric Colon 46 - 49.Junichiro Kamijo 46 - 49.Ron McCarthy 45 - 49.,http://ufcstats.com/fight-details/4f4189009a190e35,charles oliveira,michael chandler,charles oliveira,1.648831047,1544.407853,1.713446773,-0.911634919,1597.898506,0.426601926,-0.087130759,70.31,0.440156672,-0.654981327,70.31,-0.230683506,0.760742743,0.888771124,-1.120481407,-0.711991716
UFC 309: Jones vs. Miocic ,Jim Miller  vs. Damon Jackson ,W/L,Lightweight Bout,Submission ,1,2:44,3 Rnd (5-5-5),Keith Peterson,Guillotine Choke After Drop to Guard ,http://ufcstats.com/fight-details/35c8223cc967fe0a,jim miller,damon jackson,jim miller,1.15053259,1518.855775,1.064768015,-0.187557509,1504.125591,-0.059499713,-0.652229844,70.31,-0.260667129,0.202843003,65.77,-0.230683506,-1.172494629,-0.027111235,-0.661626571,0.933917684
UFC Fight Night: Magny vs. Prates ,Neil Magny  vs. Carlos Prates ,L/W,Welterweight Bout,KO/TKO ,1,4:50,5 Rnd (5-5-5-5-5),Mark Smith,Punch to Head At Distance ,http://ufcstats.com/fight-details/73f451d894a1d4ca,neil magny,carlos prates,neil magny,1.630495173,1546.249532,1.719271377,,,,1.325616953,77.11,1.841804275,0.77472589,77.11,1.435905922,0.760742743,0.583477004,-1.448895654,-1.563081619
UFC Fight Night: Magny vs. Prates ,Elizeu Zaleski dos Santos  vs. Zachary Scroggin ,W/L,Welterweight Bout,KO/TKO ,1,1:15,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground ,http://ufcstats.com/fight-details/c9d2a718f39274c0,elizeu zaleski dos santos,zachary scroggin,elizeu zaleski dos santos,1.548282877,1536.585576,1.554094508,,,,0.195418783,77.11,0.206548738,,,,,,-0.083952057,
UFC Fight Night: Moreno vs. Albazi ,Brandon Moreno  vs. Amir Albazi ,W/L,Flyweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Eric Colon 46 - 49.Sal D'amato 45 - 50.Derek Cleary 45 - 50.,http://ufcstats.com/fight-details/799acf3ae8a5df0a,brandon moreno,amir albazi,brandon moreno,1.048055752,1553.153097,1.353542362,0.971241041,1481.648107,0.546944784,-0.934779387,56.7,-0.494275063,-1.512805657,56.7,-0.944936118,0.760742743,0.583477004,-0.685097948,-0.784605366
UFC Fight Night: Moreno vs. Albazi ,Erin Blanchfield  vs. Rose Namajunas ,W/L,Women's Flyweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Blake Grice,Junichiro Kamijo 47 - 48.Mike Bell 47 - 48.Derek Cleary 47 - 48.,http://ufcstats.com/fight-details/18729b11614406bf,erin blanchfield,rose namajunas,erin blanchfield,1.373056764,1534.754324,1.402349793,1.018964544,1541.437992,1.230679019,-1.782428014,56.7,-1.428706798,-1.512805657,56.7,-1.65918873,-0.39919968,0.278182885,-0.196940736,0.933917684
UFC Fight Night: Hernandez vs. Pereira ,Darren Elkins  vs. Daniel Pineda ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Ben Cartlidge 28 - 29.Junichiro Kamijo 28 - 29.Tony Weeks 28 - 29.,http://ufcstats.com/fight-details/0599f35e6679de02,darren elkins,daniel pineda,darren elkins,1.552811196,1526.221418,1.446884556,-1.029952764,1471.682003,-1.029657024,-0.087130759,65.77,-0.260667129,-0.940922771,65.77,-0.706851914,1.147390218,0.583477004,0.433704326,-0.195160262
UFC Fight Night: Royval vs. Taira ,Brandon Royval  vs. Tatsuro Taira ,W/L,Flyweight Bout,Decision - Split ,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Chris Lee 47 - 48.Sal D'amato 48 - 47.Ron McCarthy 47 - 48.,http://ufcstats.com/fight-details/998bde5639c61adb,brandon royval,tatsuro taira,brandon royval,0.731193286,1527.60616,0.841801522,1.329034614,1494.349402,0.947300618,-0.369680302,56.7,-0.961490931,-0.940922771,56.7,-0.46876771,0.760742743,-0.637699474,1.553196934,-0.735504707
UFC Fight Night: Royval vs. Taira ,Brad Tavares  vs. JunYong Park ,L/W,Middleweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),,Junichiro Kamijo 29 - 28.Mike Bell 28 - 29.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/6fa2dae90bda4742,brad tavares,junyong park,brad tavares,1.089216069,1546.26087,1.311028308,0.557501691,1492.421214,0.360231239,0.760517868,83.91,0.440156672,-0.083098441,83.91,0.245484902,1.147390218,0.278182885,0.455906979,-0.666898308
UFC Fight Night: Royval vs. Taira ,Brad Tavares  vs. JunYong Park ,L/W,Middleweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),,Junichiro Kamijo 29 - 28.Mike Bell 28 - 29.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/6fa2dae90bda4742,brad tavares,junyong park,brad tavares,1.089216069,1546.26087,1.311028308,0.023043533,1484.770878,-0.114958131,0.760517868,83.91,0.440156672,-0.083098441,83.91,0.245484902,1.147390218,0.278182885,0.455906979,-0.666898308
UFC Fight Night: Royval vs. Taira ,Grant Dawson  vs. Rafa Garcia ,W/L,Lightweight Bout,KO/TKO ,2,1:42,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Back Control ,http://ufcstats.com/fight-details/98c29ba02cee5ba3,grant dawson,rafa garcia,grant dawson,2.046584645,1526.183685,1.819005574,-0.401365387,1476.98545,-0.510859426,-0.087130759,70.31,-0.027059196,-0.940922771,70.31,-0.46876771,1.147390218,0.583477004,-0.098748193,-0.735504707
UFC 307: Pereira vs. Rountree Jr. ,Alex Pereira  vs. Khalil Rountree Jr. ,W/L,UFC Light Heavyweight Title Bout,KO/TKO ,4,4:32,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance ,http://ufcstats.com/fight-details/8c5e06c71f392f33,alex pereira,khalil rountree jr.,alex pereira,1.906185183,1532.334401,1.77873454,0.25091689,1515.069507,0.380992107,1.608166495,92.99,1.608196341,0.77472589,92.99,0.959737514,1.147390218,0.888771124,-0.495247194,-0.603708203
UFC 307: Pereira vs. Rountree Jr. ,Raquel Pennington  vs. Julianna Pena ,L/W,UFC Women's Bantamweight Title Bout,Decision - Split ,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Sal D'amato 47 - 48.Derek Cleary 48 - 47.Mike Bell 47 - 48.,http://ufcstats.com/fight-details/1d68bb733de24b06,raquel pennington,julianna pena,raquel pennington,1.164532843,1534.075678,1.237786595,1.240581547,1508.838288,1.03959711,-0.934779387,61.23,-1.195098865,-1.226864214,61.23,-0.706851914,0.374095269,-0.637699474,0.981369775,-0.759699235
UFC 307: Pereira vs. Rountree Jr. ,Jose Aldo  vs. Mario Bautista ,L/W,Bantamweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Chris Lee 29 - 28.Derek Cleary 28 - 29.Mike Bell 28 - 29.,http://ufcstats.com/fight-details/3d7d82fff71e395a,jose aldo,mario bautista,jose aldo,1.425867957,1548.961459,1.593838783,1.454606689,1497.706764,1.075872156,-0.934779387,61.23,-0.494275063,-0.369039884,61.23,-0.706851914,-0.785847155,0.278182885,-0.685097948,0.933917684
UFC Fight Night: Moicano vs. Saint Denis ,Renato Moicano  vs. Benoit Saint Denis ,W/L,Lightweight Bout,TKO - Doctor's Stoppage ,2,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,,http://ufcstats.com/fight-details/7ca4c91bab696b89,renato moicano,benoit saint denis,renato moicano,1.133143458,1529.72534,1.167669888,0.341727981,1502.555265,0.311850623,0.195418783,70.31,-0.027059196,0.202843003,70.31,0.245484902,-0.012552206,-0.332405354,0.441310791,-0.133292977
UFC Fight Night: Moicano vs. Saint Denis ,Nassourdine Imavov  vs. Brendan Allen ,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato 28 - 29.David Lethaby 28 - 29.Anders Ohlsson 28 - 29.,http://ufcstats.com/fight-details/62ff1e5deb124ff5,nassourdine imavov,brendan allen,nassourdine imavov,0.937354885,1554.947158,1.289174582,2.234151609,1538.369606,2.089088228,1.325616953,83.91,0.673764606,1.060667333,83.91,0.72165331,0.374095269,-0.027111235,0.981369775,0.414541829
UFC Fight Night: Moicano vs. Saint Denis ,Kevin Jousset  vs. Bryan Battle ,L/W,Welterweight Bout,KO/TKO ,2,3:47,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance ,http://ufcstats.com/fight-details/45f00a42a17f8e2a,kevin jousset,bryan battle,kevin jousset,-0.11881203,1492.38507,-0.175426303,1.260431056,1503.354859,0.994667933,1.04306741,77.11,0.673764606,0.77472589,77.11,1.197821718,0.374095269,-0.637699474,0.46291315,-1.089624609
UFC 306: Riyadh Season Noche UFC ,Sean O'Malley  vs. Merab Dvalishvili ,L/W,UFC Bantamweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 46 - 49.Sal D'amato 47 - 48.Chris Lee 47 - 48.,http://ufcstats.com/fight-details/3146e5a47a922976,sean o'malley,merab dvalishvili,sean o'malley,1.697809413,1524.263342,1.535377022,1.860711263,1527.515245,1.69728988,0.195418783,61.23,-0.027059196,-1.226864214,61.23,-0.944936118,1.920685167,1.194065243,0.441310791,-0.211764349
UFC 306: Riyadh Season Noche UFC ,Alexa Grasso  vs. Valentina Shevchenko ,L/W,UFC Women's Flyweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Mark Smith,Ben Cartlidge 45 - 50.Eric Colon 45 - 50.Ron McCarthy 45 - 50.,http://ufcstats.com/fight-details/6f83cfae0c800ef8,alexa grasso,valentina shevchenko,alexa grasso,0.636568112,1553.399786,1.045731646,2.360729189,1534.962726,2.145006167,-1.499878472,56.7,-1.428706798,-1.512805657,56.7,-1.421104526,-0.012552206,-0.027111235,0.392214519,0.343717849
UFC 306: Riyadh Season Noche UFC ,Irene Aldana  vs. Norma Dumont ,L/W,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 27 - 30.Sal D'amato 27 - 30.Chris Lee 27 - 30.,http://ufcstats.com/fight-details/2397e2a92710705a,irene aldana,norma dumont,irene aldana,0.077124843,1509.077385,0.150569483,1.270469944,1514.618861,1.124247834,-0.369680302,61.23,-0.961490931,-0.940922771,65.77,-1.183020322,0.760742743,0.278182885,1.553196934,0.933917684
UFC Fight Night: Burns vs. Brady ,Gilbert Burns  vs. Sean Brady ,L/W,Welterweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Chris Lee 45 - 50.Bryan Miner 45 - 50.David Lethaby 46 - 49.,http://ufcstats.com/fight-details/ee9ade72b44dfa06,gilbert burns,sean brady,gilbert burns,1.706536279,1548.310628,1.798640034,1.574823142,1536.29416,1.582756417,-0.087130759,77.11,-0.260667129,-0.083098441,77.11,0.007400698,-0.012552206,-0.332405354,0.433704326,-0.148115347
UFC Fight Night: Burns vs. Brady ,Jessica Andrade  vs. Natalia Silva ,L/W,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Adalaide Byrd 27 - 30.Junichiro Kamijo 27 - 30.Chris Lee 27 - 30.,http://ufcstats.com/fight-details/bcfaf1dd78f12f97,jessica andrade,natalia silva,jessica andrade,0.989554137,1536.014772,1.126472944,1.616262744,1482.618244,1.030785844,-2.630076641,52.16,-2.363138533,-1.798747101,56.7,-1.65918873,-1.172494629,-0.942993593,0.354204503,0.334637851
UFC Fight Night: Burns vs. Brady ,Andre Petroski  vs. Dylan Budka ,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Chris Lee 27 - 30.David Lethaby 27 - 30.Rick Winter 27 - 30.,http://ufcstats.com/fight-details/f734b497add754af,andre petroski,dylan budka,andre petroski,1.013740554,1510.370374,0.870993683,-1.025407983,1468.702467,-1.058649773,0.477968325,83.91,0.206548738,0.488784446,83.91,0.72165331,-0.012552206,-0.637699474,0.448708859,-0.624209881
UFC Fight Night: Cannonier vs. Borralho ,Jared Cannonier  vs. Caio Borralho ,L/W,Middleweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,Sal D'amato 45 - 49.Ron McCarthy 45 - 49.Chris Lee 46 - 48.,http://ufcstats.com/fight-details/15805ae1eea3343e,jared cannonier,caio borralho,jared cannonier,0.129420868,1537.650782,0.495014305,1.830502868,1501.335731,1.391077682,0.195418783,83.91,1.140980473,-0.083098441,83.91,0.72165331,0.374095269,0.583477004,-2.048571539,-1.662961591
UFC Fight Night: Cannonier vs. Borralho ,Neil Magny  vs. Michael Morales ,L/W,Welterweight Bout,KO/TKO ,1,4:39,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head From Back Control ,http://ufcstats.com/fight-details/ae50a1a655b1a8f6,neil magny,michael morales,neil magny,1.630495173,1546.249532,1.719271377,1.308795531,1528.373879,1.301611768,1.325616953,77.11,1.841804275,0.488784446,77.11,1.673990126,1.147390218,0.278182885,-1.448895654,-2.51763072
UFC 305: Du Plessis vs. Adesanya ,Dricus Du Plessis  vs. Israel Adesanya ,W/L,UFC Middleweight Title Bout,Submission ,4,3:38,5 Rnd (5-5-5-5-5),Marc Goddard,Rear Naked Choke ,http://ufcstats.com/fight-details/6c44af21414e4143,dricus du plessis,israel adesanya,dricus du plessis,1.813403981,1627.189902,2.721217521,2.489679542,1572.464074,2.646515817,0.760517868,83.91,0.90737254,1.63255022,83.91,1.91207433,-1.172494629,-1.248287713,-0.553534706,-1.013741773
UFC Fight Night: Tybura vs. Spivac 2 ,Chris Gutierrez  vs. Quang Le ,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29.Adalaide Byrd 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/6aa89b7b5350b8e2,chris gutierrez,quang le,chris gutierrez,1.045340972,1493.096383,0.710452982,,,,-0.369680302,61.23,-1.195098865,,,,,,2.142093561,
UFC Fight Night: Sandhagen vs. Nurmagomedov ,Cory Sandhagen  vs. Umar Nurmagomedov ,L/W,Bantamweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell 45 - 50.Ben Cartlidge 46 - 49.David Lethaby 46 - 49.,http://ufcstats.com/fight-details/33655fd07cfbe034,cory sandhagen,umar nurmagomedov,cory sandhagen,1.309109863,1569.327859,1.723141024,1.568972131,1516.53523,1.364080367,0.195418783,61.23,-0.494275063,-0.654981327,61.23,-0.706851914,1.147390218,0.278182885,1.536859016,0.369378711
UFC Fight Night: Sandhagen vs. Nurmagomedov ,Shara Magomedov  vs. Michal Oleksiejczuk ,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Vito Paolillo 27 - 30.Darryl Ransom 27 - 30.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/b38450d9aa0f52b8,shara magomedov,michal oleksiejczuk,shara magomedov,1.015848105,1489.079379,0.645325084,-0.153928851,1507.995512,0.007165197,1.04306741,83.91,0.206548738,0.488784446,83.91,0.483569106,0.760742743,-0.332405354,1.514030691,-0.118871211
UFC Fight Night: Sandhagen vs. Nurmagomedov ,Marlon Vera  vs. Deiveson Figueiredo ,L/W,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Ben Cartlidge 28 - 29.Hadi Mohamed Ali 28 - 29.Howard Hughes 27 - 30.,http://ufcstats.com/fight-details/bb85e207eba236bc,marlon vera,deiveson figueiredo,marlon vera,0.808723466,1511.191132,0.725080724,1.883184345,1549.680343,1.954269882,-0.652229844,61.23,-0.494275063,-1.512805657,61.23,-0.944936118,1.147390218,0.583477004,-0.129608707,-0.784605366
UFC Fight Night: Sandhagen vs. Nurmagomedov ,Tony Ferguson  vs. Michael Chiesa ,L/W,Welterweight Bout,Submission ,1,3:44,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke ,http://ufcstats.com/fight-details/2d39c26876246223,tony ferguson,michael chiesa,tony ferguson,1.61928332,1549.717912,1.747833909,1.217298511,1548.911703,1.457305015,0.195418783,70.31,0.90737254,0.77472589,77.11,0.72165331,-0.785847155,0.278182885,-1.57680436,-0.104834026
UFC 304: Edwards vs. Muhammad 2 ,Leon Edwards  vs. Belal Muhammad ,L/W,UFC Welterweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Mike Beltran,Ben Cartlidge 47 - 48.Derek Cleary 47 - 48.Clemens Werner 46 - 49.,http://ufcstats.com/fight-details/ec5163539a133f17,leon edwards,belal muhammad,leon edwards,2.163096009,1556.95986,2.235409503,2.36441265,1535.309256,2.151468888,1.04306741,77.11,0.440156672,0.202843003,77.11,0.007400698,1.147390218,0.583477004,0.981369775,0.392901168
UFC 304: Edwards vs. Muhammad 2 ,Tom Aspinall  vs. Curtis Blaydes ,W/L,UFC Interim Heavyweight Title Bout,KO/TKO ,1,1:00,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance ,http://ufcstats.com/fight-details/ec434314c5438fc7,tom aspinall,curtis blaydes,tom aspinall,1.558421165,1517.87991,1.36208028,1.870632492,1563.496533,2.094963779,1.890716038,116.12,1.374588407,1.63255022,120.2,1.91207433,0.374095269,-0.637699474,0.482853789,-1.013741773
